#StopPointNumber;StopPointName;StopAreaNumber;LocationNorthingCoordinate;LocationEastingCoordinate;ZoneShortName;StopAreaTypeCode;LastModifiedUtcDateTime;ExistsFromDate
60222;Borgenvägen;60171;59.4057436616691;18.0095944616377;A;BUSTERM;2014-06-03 00:00:00.000;2014-06-03 00:00:00.000
60223;Borgen;60223;59.4055587654684;18.0061832535375;A;BUSTERM;2014-06-03 00:00:00.000;2014-06-03 00:00:00.000
60224;Borgen;60223;59.4051557877611;18.0066502600900;A;BUSTERM;2014-06-03 00:00:00.000;2014-06-03 00:00:00.000
60225;Ekbacken;60225;59.4016727812313;18.0113728742975;A;BUSTERM;2014-06-03 00:00:00.000;2014-06-03 00:00:00.000
60226;Ekbacken;60225;59.4015448257452;18.0115054402051;A;BUSTERM;2014-06-03 00:00:00.000;2014-06-03 00:00:00.000
60227;Klingsta park;60227;59.4009056893145;18.0169053989184;A;BUSTERM;2014-06-03 00:00:00.000;2014-06-03 00:00:00.000
60228;Klingsta park;60227;59.4016298823444;18.0176217854785;A;BUSTERM;2014-06-03 00:00:00.000;2014-06-03 00:00:00.000
60229;Danderydsvallen;60173;59.4036881777156;18.0185660914569;A;BUSTERM;2014-06-03 00:00:00.000;2014-06-03 00:00:00.000
60230;Danderydsvallen;60173;59.4036663386354;18.0182652716640;A;BUSTERM;2014-06-03 00:00:00.000;2014-06-03 00:00:00.000
60231;Kevingeringen;60231;59.4006409672998;18.0256226831411;A;BUSTERM;2014-06-03 00:00:00.000;2014-06-03 00:00:00.000
60232;Kevingeringen;60231;59.4007190017075;18.0257862780437;A;BUSTERM;2014-06-03 00:00:00.000;2014-06-03 00:00:00.000
60233;Bråvallavägen;60233;59.4051549748996;18.0598395339978;A;BUSTERM;2014-06-03 00:00:00.000;2014-06-03 00:00:00.000
60235;Djursholms Ekeby;60236;59.4095867996570;18.0590419049290;A;BUSTERM;2014-06-03 00:00:00.000;2014-06-03 00:00:00.000
60237;Roslags Näsby station;60237;59.4357098010106;18.0574293524389;B;BUSTERM;2014-06-03 00:00:00.000;2014-06-03 00:00:00.000
