#LineNumber;DirectionCode;StopAreaNumber;LastModifiedUtcDateTime;ExistsFromDate
541;1;50119;2013-12-19 00:00:00.000;2013-12-19 00:00:00.000
541;1;51413;2012-06-23 00:00:00.000;2012-06-23 00:00:00.000
541;1;51416;2012-06-23 00:00:00.000;2012-06-23 00:00:00.000
541;1;51418;2012-06-23 00:00:00.000;2012-06-23 00:00:00.000
541;1;51424;2012-06-23 00:00:00.000;2012-06-23 00:00:00.000
541;1;51426;2012-06-23 00:00:00.000;2012-06-23 00:00:00.000
541;1;51428;2012-06-23 00:00:00.000;2012-06-23 00:00:00.000
541;1;51430;2012-06-23 00:00:00.000;2012-06-23 00:00:00.000
541;1;51432;2012-06-23 00:00:00.000;2012-06-23 00:00:00.000
541;1;51434;2012-06-23 00:00:00.000;2012-06-23 00:00:00.000
541;1;51436;2012-06-23 00:00:00.000;2012-06-23 00:00:00.000
541;1;51442;2012-06-23 00:00:00.000;2012-06-23 00:00:00.000
541;1;51444;2012-06-23 00:00:00.000;2012-06-23 00:00:00.000
541;1;51446;2012-06-23 00:00:00.000;2012-06-23 00:00:00.000
541;1;51448;2012-06-23 00:00:00.000;2012-06-23 00:00:00.000
541;1;51450;2012-06-23 00:00:00.000;2012-06-23 00:00:00.000
541;1;51452;2012-06-23 00:00:00.000;2012-06-23 00:00:00.000
541;1;51454;2012-06-23 00:00:00.000;2012-06-23 00:00:00.000
541;1;51571;2012-06-23 00:00:00.000;2012-06-23 00:00:00.000
541;1;51574;2012-06-23 00:00:00.000;2012-06-23 00:00:00.000
541;1;51576;2012-06-23 00:00:00.000;2012-06-23 00:00:00.000
541;1;51578;2012-06-23 00:00:00.000;2012-06-23 00:00:00.000
541;1;51582;2012-06-23 00:00:00.000;2012-06-23 00:00:00.000
541;1;51586;2013-03-06 00:00:00.000;2013-03-06 00:00:00.000
541;1;51612;2013-12-19 00:00:00.000;2013-12-19 00:00:00.000
541;1;55011;2012-06-23 00:00:00.000;2012-06-23 00:00:00.000
541;1;55015;2012-06-23 00:00:00.000;2012-06-23 00:00:00.000
541;1;55017;2012-06-23 00:00:00.000;2012-06-23 00:00:00.000
541;1;55019;2013-12-19 00:00:00.000;2013-12-19 00:00:00.000
541;1;55021;2012-06-23 00:00:00.000;2012-06-23 00:00:00.000
541;1;55023;2012-06-23 00:00:00.000;2012-06-23 00:00:00.000
541;1;55025;2012-06-23 00:00:00.000;2012-06-23 00:00:00.000
541;2;12301;2013-12-19 00:00:00.000;2013-12-19 00:00:00.000
