#SiteId;SiteName;StopAreaNumber;LastModifiedUtcDateTime;ExistsFromDate
6214;Blidögaraget;63441;2012-03-26 23:55:32.900;2012-06-23 00:00:00.000
6225;Blidösundsgården;63431;2012-03-26 23:55:32.900;2012-06-23 00:00:00.000
8707;Blista;75485;2012-03-26 23:55:32.900;2012-06-23 00:00:00.000
5788;Blixtvägen;51722;2012-03-26 23:55:32.900;2012-06-23 00:00:00.000
1420;Blockhusudden;11054;2012-03-26 23:55:32.900;2012-06-23 00:00:00.000
1420;Blockhusudden;8006;2012-03-26 23:55:32.900;2012-06-23 00:00:00.000
8282;Blockstensvägen;80811;2012-03-26 23:55:32.900;2012-06-23 00:00:00.000
6832;Bloka;63947;2012-03-26 23:55:32.900;2012-06-23 00:00:00.000
7899;Blombackagatan;75845;2012-03-26 23:55:32.900;2012-06-23 00:00:00.000
6071;Blå Vingen;68707;2012-03-26 23:55:32.900;2012-06-23 00:00:00.000
5024;Blåbärsvägen;52111;2012-03-26 23:55:32.900;2012-06-23 00:00:00.000
2056;Blåklintsvägen;20661;2012-03-26 23:55:32.900;2012-06-23 00:00:00.000
6375;Blåklintsvägen;64127;2012-03-26 23:55:32.900;2012-06-23 00:00:00.000
8163;Blåklintsvägen;80499;2012-03-26 23:55:32.900;2012-06-23 00:00:00.000
2408;Blåmesvägen;62282;2012-03-26 23:55:32.900;2012-06-23 00:00:00.000
6982;Blåsargårdsvägen;63797;2012-03-26 23:55:32.900;2012-06-23 00:00:00.000
9187;Blåsut;1811;2012-03-26 23:55:32.900;2012-06-23 00:00:00.000
9187;Blåsut;80153;2012-03-26 23:55:32.900;2012-06-23 00:00:00.000
7021;Bläcksvampsvägen;70718;2012-03-26 23:55:32.900;2012-06-23 00:00:00.000
6152;Bläsboda;63031;2012-03-26 23:55:32.900;2012-06-23 00:00:00.000
6551;Bobackens gård;64803;2012-03-26 23:55:32.900;2012-06-23 00:00:00.000
6550;Bobackens vägskäl;63907;2012-03-26 23:55:32.900;2012-06-23 00:00:00.000
7456;Bockholmssättra;75051;2012-03-26 23:55:32.900;2012-06-23 00:00:00.000
7194;Bockhornsstigen;70163;2012-03-26 23:55:32.900;2012-06-23 00:00:00.000
6200;Boda;63449;2012-03-26 23:55:32.900;2012-06-23 00:00:00.000
6995;Boda;63787;2012-03-26 23:55:32.900;2012-06-23 00:00:00.000
8782;Boda;81225;2012-03-26 23:55:32.900;2012-06-23 00:00:00.000
2667;Boda (Dyviks vsk);62129;2012-03-26 23:55:32.900;2012-06-23 00:00:00.000
4565;Boda brygga;41650;2012-03-26 23:55:32.900;2012-06-23 00:00:00.000
4565;Boda brygga;187;2012-03-26 23:55:32.900;2012-06-23 00:00:00.000
4564;Boda by;41647;2012-03-26 23:55:32.900;2012-06-23 00:00:00.000
6339;Bodal;63277;2012-03-26 23:55:32.900;2012-06-23 00:00:00.000
9250;Bodal;21011;2012-03-26 23:55:32.900;2012-06-23 00:00:00.000
9250;Bodal;22041;2012-03-26 23:55:32.900;2012-06-23 00:00:00.000
2072;Bodals skola;21021;2012-03-26 23:55:32.900;2012-06-23 00:00:00.000
1009250;Bodals station;21011;2012-03-26 23:55:32.900;2012-06-23 00:00:00.000
1009250;Bodals station;22041;2012-03-26 23:55:32.900;2012-06-23 00:00:00.000
4563;Bodavägen;41639;2012-03-26 23:55:32.900;2012-06-23 00:00:00.000
2945;Bofinksvägen;63339;2012-03-26 23:55:32.900;2012-06-23 00:00:00.000
1924;Boforsgatan;70628;2012-03-26 23:55:32.900;2012-06-23 00:00:00.000
2823;Bogesunds gård;67071;2012-03-26 23:55:32.900;2012-06-23 00:00:00.000
1318;Bohusgatan;10668;2012-03-26 23:55:32.900;2012-06-23 00:00:00.000
1734;Bokbindarvägen;13513;2012-03-26 23:55:32.900;2012-06-23 00:00:00.000
3071;Bokvägen;15511;2012-03-26 23:55:32.900;2012-06-23 00:00:00.000
3564;Bokvägen;50409;2012-03-26 23:55:32.900;2012-06-23 00:00:00.000
7217;Bokvägen;70192;2012-03-26 23:55:32.900;2012-06-23 00:00:00.000
2733;Bolby;62639;2012-03-26 23:55:32.900;2012-06-23 00:00:00.000
1510;Bolidenvägen;11722;2012-03-26 23:55:32.900;2012-06-23 00:00:00.000
1211;Bolinders plan;10535;2012-03-26 23:55:32.900;2012-06-23 00:00:00.000
9908;Bollen;50474;2012-03-26 23:55:32.900;2012-06-23 00:00:00.000
7549;Bollhallen;75807;2012-03-26 23:55:32.900;2012-06-23 00:00:00.000
8033;Bollmoraberg;80013;2012-03-26 23:55:32.900;2012-06-23 00:00:00.000
